Pig_ID,Group,Mutation_type,Protein,Evolution_rate
4490,NO VAC,Synonymous,NP,9.924611127015936e-06
4490,NO VAC,Synonymous,NA,0.0
4490,NO VAC,Synonymous,M1,0.0
4490,NO VAC,Synonymous,M2,0.0
4490,NO VAC,Synonymous,NS1,0.0
4490,NO VAC,Synonymous,NS2,0.0013177205308352849
4490,NO VAC,Synonymous,Whole_genome,4.457868556675339e-05
4492,SINGLE LAIV,Synonymous,PB2,0.0002639097744360902
4492,SINGLE LAIV,Synonymous,PB1,1.3066968212086946e-05
4492,SINGLE LAIV,Synonymous,PB1-F2,0.0
4492,SINGLE LAIV,Synonymous,PA,2.2846516570365945e-05
4492,SINGLE LAIV,Synonymous,PA-X,1.226241569589209e-05
4492,SINGLE LAIV,Synonymous,HA,0.0003359368438733518
4492,SINGLE LAIV,Synonymous,NP,0.0
4492,SINGLE LAIV,Synonymous,NA,1.4994934143870315e-05
4492,SINGLE LAIV,Synonymous,M1,9.78731413514022e-06
4492,SINGLE LAIV,Synonymous,M2,0.0
4492,SINGLE LAIV,Synonymous,NS1,0.0
4492,SINGLE LAIV,Synonymous,NS2,2.34192037470726e-05
4492,SINGLE LAIV,Synonymous,Whole_genome,9.055294715751069e-05
4495,NO VAC,Synonymous,PB2,0.0
4495,NO VAC,Synonymous,PB1,0.000263098379193366
4495,NO VAC,Synonymous,PB1-F2,0.0
4495,NO VAC,Synonymous,PA,0.0
4495,NO VAC,Synonymous,PA-X,0.0
4495,NO VAC,Synonymous,HA,0.0003359368438733518
4495,NO VAC,Synonymous,NP,0.0
4495,NO VAC,Synonymous,NA,0.0
4495,NO VAC,Synonymous,M1,0.0
4495,NO VAC,Synonymous,M2,0.0
4495,NO VAC,Synonymous,NS1,0.0
4495,NO VAC,Synonymous,NS2,0.0
4495,NO VAC,Synonymous,Whole_genome,8.162126060388566e-05
4937,SINGLE LAIV,Synonymous,PB2,0.0002541353383458647
4937,SINGLE LAIV,Synonymous,PB1,2.5128785023244126e-06
4937,SINGLE LAIV,Synonymous,PB1-F2,0.0
4937,SINGLE LAIV,Synonymous,PA,0.0
4937,SINGLE LAIV,Synonymous,PA-X,0.0
4937,SINGLE LAIV,Synonymous,HA,9.977324263038549e-05
4937,SINGLE LAIV,Synonymous,NP,0.0
4937,SINGLE LAIV,Synonymous,NA,0.0
4937,SINGLE LAIV,Synonymous,M1,0.0
4937,SINGLE LAIV,Synonymous,M2,0.0
4937,SINGLE LAIV,Synonymous,NS1,0.0
4937,SINGLE LAIV,Synonymous,NS2,0.0
4937,SINGLE LAIV,Synonymous,Whole_genome,5.267302650597606e-05
4938,NO VAC,Synonymous,PB2,1.1027568922305763e-05
4938,NO VAC,Synonymous,PB1,0.0002593290614398793
4938,NO VAC,Synonymous,PB1-F2,0.0
4938,NO VAC,Synonymous,PA,0.0
4938,NO VAC,Synonymous,PA-X,0.0
4938,NO VAC,Synonymous,HA,5.576551608297641e-05
4938,NO VAC,Synonymous,NP,0.0
4938,NO VAC,Synonymous,NA,1.0536980749746707e-05
4938,NO VAC,Synonymous,M1,3.463203463203463e-05
4938,NO VAC,Synonymous,M2,0.0
4938,NO VAC,Synonymous,NS1,2.077922077922078e-05
4938,NO VAC,Synonymous,NS2,0.0
4938,NO VAC,Synonymous,Whole_genome,5.335087771763509e-05
5166,SINGLE LAIV,Synonymous,PB2,2.531328320802005e-05
5166,SINGLE LAIV,Synonymous,PB1,3.7693177534866187e-06
5166,SINGLE LAIV,Synonymous,PB1-F2,0.0
5166,SINGLE LAIV,Synonymous,PA,2.2315202231520222e-05
5166,SINGLE LAIV,Synonymous,PA-X,8.992438176987532e-06
5166,SINGLE LAIV,Synonymous,HA,0.00014310909549004788
5166,SINGLE LAIV,Synonymous,NP,0.0
5166,SINGLE LAIV,Synonymous,NA,1.1752786220871327e-05
5166,SINGLE LAIV,Synonymous,M1,0.0
5166,SINGLE LAIV,Synonymous,M2,0.0
5166,SINGLE LAIV,Synonymous,NS1,0.0
5166,SINGLE LAIV,Synonymous,NS2,0.0
5166,SINGLE LAIV,Synonymous,Whole_genome,2.655581805676007e-05
5175,PRIME BOOST,Synonymous,PB2,0.00010852130325814536
5175,PRIME BOOST,Synonymous,PB1,0.00025078527453197637
5175,PRIME BOOST,Synonymous,PB1-F2,0.0
5175,PRIME BOOST,Synonymous,PA,0.0
5175,PRIME BOOST,Synonymous,PA-X,0.0
5175,PRIME BOOST,Synonymous,HA,0.00039741328630217516
5175,PRIME BOOST,Synonymous,NP,8.016032064128256e-06
5175,PRIME BOOST,Synonymous,NA,1.7831813576494425e-05
5175,PRIME BOOST,Synonymous,M1,1.58102766798419e-05
5175,PRIME BOOST,Synonymous,M2,0.0
5175,PRIME BOOST,Synonymous,NS1,8.311688311688312e-05
5175,PRIME BOOST,Synonymous,NS2,7.650273224043716e-05
5175,PRIME BOOST,Synonymous,Whole_genome,0.00011344039395117477
4934,SINGLE LAIV,Synonymous,PB2,0.0001724310776942356
4934,SINGLE LAIV,Synonymous,PB1,4.02060560371906e-06
4934,SINGLE LAIV,Synonymous,PB1-F2,0.0
4934,SINGLE LAIV,Synonymous,PA,0.0
4934,SINGLE LAIV,Synonymous,PA-X,0.0
4934,SINGLE LAIV,Synonymous,HA,0.0
4934,SINGLE LAIV,Synonymous,NP,0.0
4934,SINGLE LAIV,Synonymous,NA,1.1347517730496454e-05
4934,SINGLE LAIV,Synonymous,M1,8.281573498964803e-06
4934,SINGLE LAIV,Synonymous,M2,0.00038095238095238096
4934,SINGLE LAIV,Synonymous,NS1,1.1255411255411255e-05
4934,SINGLE LAIV,Synonymous,NS2,4.527712724434036e-05
4934,SINGLE LAIV,Synonymous,Whole_genome,3.911600227279524e-05
5174,NO VAC,Synonymous,PB2,4.2606516290726825e-06
5174,NO VAC,Synonymous,PB1,1.5077271013946475e-05
5174,NO VAC,Synonymous,PB1-F2,0.0
5174,NO VAC,Synonymous,PA,0.00012990635584777843
5174,NO VAC,Synonymous,PA-X,0.00030002043735949315
5174,NO VAC,Synonymous,HA,0.0
5174,NO VAC,Synonymous,NP,0.0
5174,NO VAC,Synonymous,NA,4.2553191489361704e-05
5174,NO VAC,Synonymous,M1,9.034443817052513e-06
5174,NO VAC,Synonymous,M2,0.0
5174,NO VAC,Synonymous,NS1,0.0
5174,NO VAC,Synonymous,NS2,0.0
5174,NO VAC,Synonymous,Whole_genome,4.1867280720117234e-05
5185,PRIME BOOST,Synonymous,PB2,1.9799498746867168e-05
5185,PRIME BOOST,Synonymous,PA,0.0
5185,PRIME BOOST,Synonymous,PA-X,0.0
5185,PRIME BOOST,Synonymous,HA,0.0
5185,PRIME BOOST,Synonymous,NP,0.0
5185,PRIME BOOST,Synonymous,M1,5.0442311311876535e-05
5185,PRIME BOOST,Synonymous,M2,0.0
5185,PRIME BOOST,Synonymous,Whole_genome,8.893355871289994e-06
4481,SINGLE LAIV,Synonymous,PB2,0.0
4481,SINGLE LAIV,Synonymous,PB1,0.00019575323533107175
4481,SINGLE LAIV,Synonymous,PB1-F2,0.0
4481,SINGLE LAIV,Synonymous,PA,4.436474729361759e-05
4481,SINGLE LAIV,Synonymous,PA-X,3.0247292049867156e-05
4481,SINGLE LAIV,Synonymous,HA,0.0
4481,SINGLE LAIV,Synonymous,NP,0.0
4481,SINGLE LAIV,Synonymous,NA,0.00012887537993920973
4481,SINGLE LAIV,Synonymous,M1,0.0
4481,SINGLE LAIV,Synonymous,M2,0.0
4481,SINGLE LAIV,Synonymous,NS1,0.0
4481,SINGLE LAIV,Synonymous,NS2,0.0
4481,SINGLE LAIV,Synonymous,Whole_genome,5.187555449225954e-05
4493,NO VAC,Synonymous,PB2,2.0050125313283208e-05
4493,NO VAC,Synonymous,PB1,0.00026410353059429573
4493,NO VAC,Synonymous,PB1-F2,3.3333333333333335e-05
4493,NO VAC,Synonymous,PA,9.829315268645813e-06
4493,NO VAC,Synonymous,PA-X,9.809932556713672e-06
4493,NO VAC,Synonymous,HA,0.0
4493,NO VAC,Synonymous,NP,7.252600438973184e-06
4493,NO VAC,Synonymous,NA,1.580547112462006e-05
4493,NO VAC,Synonymous,M1,0.0
4493,NO VAC,Synonymous,M2,0.0
4493,NO VAC,Synonymous,NS1,0.0
4493,NO VAC,Synonymous,NS2,0.0
4493,NO VAC,Synonymous,Whole_genome,4.9921748058654055e-05
5179,NO VAC,Synonymous,PB2,3.3834586466165414e-05
5179,NO VAC,Synonymous,PB1,0.0002002764166352557
5179,NO VAC,Synonymous,PB1-F2,0.0
5179,NO VAC,Synonymous,PA,2.8159659958823138e-05
5179,NO VAC,Synonymous,PA-X,0.0
5179,NO VAC,Synonymous,HA,0.0
5179,NO VAC,Synonymous,NP,0.0
5179,NO VAC,Synonymous,NA,3.931104356636271e-05
5179,NO VAC,Synonymous,M1,0.0
5179,NO VAC,Synonymous,M2,0.0
5179,NO VAC,Synonymous,NS1,0.0
5179,NO VAC,Synonymous,NS2,0.0
5179,NO VAC,Synonymous,Whole_genome,4.525653677841243e-05
5167,NO VAC,Synonymous,PB2,3.984962406015038e-05
5167,NO VAC,Synonymous,PB1,6.382711395904008e-05
5167,NO VAC,Synonymous,PB1-F2,0.0
5167,NO VAC,Synonymous,PA,2.1252573553828786e-05
5167,NO VAC,Synonymous,PA-X,0.0
5167,NO VAC,Synonymous,HA,0.0
5167,NO VAC,Synonymous,NP,0.0
5167,NO VAC,Synonymous,NA,0.0
5167,NO VAC,Synonymous,M1,0.0
5167,NO VAC,Synonymous,M2,0.0
5167,NO VAC,Synonymous,NS1,0.0
5167,NO VAC,Synonymous,NS2,0.0007931303669008587
5167,NO VAC,Synonymous,Whole_genome,3.991347428651176e-05
4499,PRIME BOOST,Synonymous,PA,8.501029421531513e-06
4499,PRIME BOOST,Synonymous,PA-X,0.0
4499,PRIME BOOST,Synonymous,Whole_genome,6.416040100250627e-06
4473,SINGLE LAIV,Non-Synonymous,PB2,8.702311333890282e-05
4473,SINGLE LAIV,Non-Synonymous,PB1,1.7450545155030644e-06
4473,SINGLE LAIV,Non-Synonymous,PB1-F2,0.0005968915343915343
4473,SINGLE LAIV,Non-Synonymous,PA,9.224207271627077e-07
4473,SINGLE LAIV,Non-Synonymous,PA-X,2.8385221518268727e-06
4473,SINGLE LAIV,Non-Synonymous,HA,2.3445592228661016e-05
4473,SINGLE LAIV,Non-Synonymous,NP,0.0
4473,SINGLE LAIV,Non-Synonymous,NA,6.332320162107396e-06
4473,SINGLE LAIV,Non-Synonymous,M1,0.0002313507748290357
4473,SINGLE LAIV,Non-Synonymous,M2,0.0
4473,SINGLE LAIV,Non-Synonymous,NS1,6.613756613756613e-06
4473,SINGLE LAIV,Non-Synonymous,NS2,0.0
4473,SINGLE LAIV,Non-Synonymous,Whole_genome,4.035817569416061e-05
4486,PRIME BOOST,Non-Synonymous,PB2,5.586883876357561e-05
4486,PRIME BOOST,Non-Synonymous,PB1,2.922966313467633e-05
4486,PRIME BOOST,Non-Synonymous,PB1-F2,0.0002620701058201058
4486,PRIME BOOST,Non-Synonymous,PA,6.456945090138953e-06
4486,PRIME BOOST,Non-Synonymous,PA-X,0.0
4486,PRIME BOOST,Non-Synonymous,HA,3.266052648768698e-06
4486,PRIME BOOST,Non-Synonymous,M1,1.3332078549469855e-05
4486,PRIME BOOST,Non-Synonymous,M2,0.0
4486,PRIME BOOST,Non-Synonymous,NS1,0.0
4486,PRIME BOOST,Non-Synonymous,NS2,0.0
4486,PRIME BOOST,Non-Synonymous,Whole_genome,2.5062108176603974e-05
4490,NO VAC,Non-Synonymous,PB2,0.0
4490,NO VAC,Non-Synonymous,PB1,1.570549063952758e-06
4490,NO VAC,Non-Synonymous,PB1-F2,0.0
4490,NO VAC,Non-Synonymous,PA,0.0
4490,NO VAC,Non-Synonymous,PA-X,0.0
4490,NO VAC,Non-Synonymous,HA,1.2480986907794669e-05
4490,NO VAC,Non-Synonymous,NP,0.0
4490,NO VAC,Non-Synonymous,NA,7.176629517055048e-06
4490,NO VAC,Non-Synonymous,M1,0.0
4490,NO VAC,Non-Synonymous,M2,0.0
4490,NO VAC,Non-Synonymous,NS1,0.0
4490,NO VAC,Non-Synonymous,NS2,0.0
4490,NO VAC,Non-Synonymous,Whole_genome,2.436720041911584e-06
4492,SINGLE LAIV,Non-Synonymous,PB2,6.526733500417711e-06
4492,SINGLE LAIV,Non-Synonymous,PB1,7.765492593988636e-06
4492,SINGLE LAIV,Non-Synonymous,PB1-F2,0.0
4492,SINGLE LAIV,Non-Synonymous,PA,8.947481053478265e-06
4492,SINGLE LAIV,Non-Synonymous,PA-X,8.51556645548062e-06
4492,SINGLE LAIV,Non-Synonymous,HA,0.00023422263281169806
4492,SINGLE LAIV,Non-Synonymous,NP,0.0
4492,SINGLE LAIV,Non-Synonymous,NA,2.6736462906675667e-06
4492,SINGLE LAIV,Non-Synonymous,M1,0.00026951711734320426
4492,SINGLE LAIV,Non-Synonymous,M2,0.0
4492,SINGLE LAIV,Non-Synonymous,NS1,4.509379509379509e-06
4492,SINGLE LAIV,Non-Synonymous,NS2,0.0
4492,SINGLE LAIV,Non-Synonymous,Whole_genome,4.657458080108279e-05
4493,NO VAC,Non-Synonymous,PB2,9.746588693957116e-05
4493,NO VAC,Non-Synonymous,PB1,3.559911211626251e-05
4493,NO VAC,Non-Synonymous,PB1-F2,1.736111111111111e-05
4493,NO VAC,Non-Synonymous,PA,9.316449344343345e-06
4493,NO VAC,Non-Synonymous,PA-X,1.0218679746576746e-05
4493,NO VAC,Non-Synonymous,HA,0.00013694092177337326
4493,NO VAC,Non-Synonymous,NP,9.940515952540002e-06
4493,NO VAC,Non-Synonymous,NA,7.303275920297198e-05
4493,NO VAC,Non-Synonymous,M1,5.986364682016856e-05
4493,NO VAC,Non-Synonymous,M2,0.0
4493,NO VAC,Non-Synonymous,NS1,1.1724386724386724e-05
4493,NO VAC,Non-Synonymous,NS2,0.0
4493,NO VAC,Non-Synonymous,Whole_genome,5.153109088633476e-05
4937,SINGLE LAIV,Non-Synonymous,PB2,0.0
4937,SINGLE LAIV,Non-Synonymous,PB1,0.0
4937,SINGLE LAIV,Non-Synonymous,PB1-F2,8.267195767195766e-06
4937,SINGLE LAIV,Non-Synonymous,PA,0.0
4937,SINGLE LAIV,Non-Synonymous,PA-X,0.0
4937,SINGLE LAIV,Non-Synonymous,HA,0.00011886098746768939
4937,SINGLE LAIV,Non-Synonymous,NP,0.0
4937,SINGLE LAIV,Non-Synonymous,NA,0.0
4937,SINGLE LAIV,Non-Synonymous,M1,7.580985841855407e-06
4937,SINGLE LAIV,Non-Synonymous,M2,0.0
4937,SINGLE LAIV,Non-Synonymous,NS1,0.0
4937,SINGLE LAIV,Non-Synonymous,NS2,0.0
4937,SINGLE LAIV,Non-Synonymous,Whole_genome,1.4648010251945773e-05
4938,NO VAC,Non-Synonymous,PB2,8.789334447229184e-05
4938,NO VAC,Non-Synonymous,PB1,5.496921723834653e-06
4938,NO VAC,Non-Synonymous,PB1-F2,0.0
4938,NO VAC,Non-Synonymous,PA,2.1215676724742277e-06
4938,NO VAC,Non-Synonymous,PA-X,6.528600949201808e-06
4938,NO VAC,Non-Synonymous,HA,0.00012177710590409
4938,NO VAC,Non-Synonymous,NP,5.566688933422401e-06
4938,NO VAC,Non-Synonymous,NA,3.138016435888777e-05
4938,NO VAC,Non-Synonymous,M1,0.0002593219984524332
4938,NO VAC,Non-Synonymous,M2,0.0
4938,NO VAC,Non-Synonymous,NS1,3.9081289081289076e-06
4938,NO VAC,Non-Synonymous,NS2,6.505334374186834e-06
4938,NO VAC,Non-Synonymous,Whole_genome,4.7696025820371623e-05
5166,SINGLE LAIV,Non-Synonymous,PB2,1.0442773600668338e-06
5166,SINGLE LAIV,Non-Synonymous,PB1,0.0
5166,SINGLE LAIV,Non-Synonymous,PB1-F2,1.2400793650793649e-05
5166,SINGLE LAIV,Non-Synonymous,PA,8.191096057204844e-05
5166,SINGLE LAIV,Non-Synonymous,PA-X,0.0002520607670822263
5166,SINGLE LAIV,Non-Synonymous,HA,2.216250011664474e-06
5166,SINGLE LAIV,Non-Synonymous,NP,0.0
5166,SINGLE LAIV,Non-Synonymous,NA,0.0
5166,SINGLE LAIV,Non-Synonymous,M1,6.012506012506012e-06
5166,SINGLE LAIV,Non-Synonymous,M2,0.0
5166,SINGLE LAIV,Non-Synonymous,NS1,0.0
5166,SINGLE LAIV,Non-Synonymous,NS2,0.0
5166,SINGLE LAIV,Non-Synonymous,Whole_genome,2.554402543935723e-05
5174,NO VAC,Non-Synonymous,PB2,1.2183235867446394e-06
5174,NO VAC,Non-Synonymous,PB1,6.8929653362371035e-06
5174,NO VAC,Non-Synonymous,PB1-F2,0.0
5174,NO VAC,Non-Synonymous,PA,1.0146627998789784e-06
5174,NO VAC,Non-Synonymous,PA-X,0.0
5174,NO VAC,Non-Synonymous,HA,1.0614671108498269e-05
5174,NO VAC,Non-Synonymous,NP,2.06762731812832e-05
5174,NO VAC,Non-Synonymous,NA,2.8143645164921763e-05
5174,NO VAC,Non-Synonymous,M1,0.0
5174,NO VAC,Non-Synonymous,M2,0.0
5174,NO VAC,Non-Synonymous,NS1,0.0
5174,NO VAC,Non-Synonymous,NS2,0.0
5174,NO VAC,Non-Synonymous,Whole_genome,7.628595131211835e-06
5175,PRIME BOOST,Non-Synonymous,PB2,0.00010286131996658313
5175,PRIME BOOST,Non-Synonymous,PB1,1.0208568915692926e-05
5175,PRIME BOOST,Non-Synonymous,PB1-F2,0.0
5175,PRIME BOOST,Non-Synonymous,PA,1.475873163460332e-05
5175,PRIME BOOST,Non-Synonymous,PA-X,2.526284715125917e-05
5175,PRIME BOOST,Non-Synonymous,HA,2.4845329078133314e-05
5175,PRIME BOOST,Non-Synonymous,NP,4.7714476572192e-06
5175,PRIME BOOST,Non-Synonymous,NA,7.035911291230441e-06
5175,PRIME BOOST,Non-Synonymous,M1,2.561850387937344e-05
5175,PRIME BOOST,Non-Synonymous,M2,1.417233560090703e-05
5175,PRIME BOOST,Non-Synonymous,NS1,0.0
5175,PRIME BOOST,Non-Synonymous,NS2,0.0
5175,PRIME BOOST,Non-Synonymous,Whole_genome,2.7219270468171448e-05
5167,NO VAC,Non-Synonymous,PB2,4.098788638262322e-05
5167,NO VAC,Non-Synonymous,PB1,1.221538160852145e-06
5167,NO VAC,Non-Synonymous,PB1-F2,0.0
5167,NO VAC,Non-Synonymous,PA,4.427619490380996e-06
5167,NO VAC,Non-Synonymous,PA-X,5.109339873288371e-06
5167,NO VAC,Non-Synonymous,HA,0.0
5167,NO VAC,Non-Synonymous,NP,0.0
5167,NO VAC,Non-Synonymous,NA,0.0
5167,NO VAC,Non-Synonymous,M1,0.0
5167,NO VAC,Non-Synonymous,M2,3.5093402440341215e-05
5167,NO VAC,Non-Synonymous,NS1,0.0
5167,NO VAC,Non-Synonymous,NS2,0.0
5167,NO VAC,Non-Synonymous,Whole_genome,8.348535143594804e-06
5185,PRIME BOOST,Non-Synonymous,PB2,0.0
5185,PRIME BOOST,Non-Synonymous,PA,0.0
5185,PRIME BOOST,Non-Synonymous,PA-X,0.0
5185,PRIME BOOST,Non-Synonymous,HA,0.0
5185,PRIME BOOST,Non-Synonymous,NP,0.0001803872294854259
5185,PRIME BOOST,Non-Synonymous,M1,6.273919317397578e-06
5185,PRIME BOOST,Non-Synonymous,M2,8.098477486232588e-06
5185,PRIME BOOST,Non-Synonymous,Whole_genome,2.954722734063956e-05
4479,SINGLE LAIV,Non-Synonymous,PB2,9.57254246727931e-07
4479,SINGLE LAIV,Non-Synonymous,PB1,1.8323072412782176e-06
4479,SINGLE LAIV,Non-Synonymous,PB1-F2,0.0
4479,SINGLE LAIV,Non-Synonymous,PA,9.021274711651279e-05
4479,SINGLE LAIV,Non-Synonymous,PA-X,0.0002776074664486682
4479,SINGLE LAIV,Non-Synonymous,HA,0.0
4479,SINGLE LAIV,Non-Synonymous,NP,1.5904825524064004e-06
4479,SINGLE LAIV,Non-Synonymous,NA,2.9550827423167846e-06
4479,SINGLE LAIV,Non-Synonymous,M1,0.0
4479,SINGLE LAIV,Non-Synonymous,M2,0.0
4479,SINGLE LAIV,Non-Synonymous,NS1,1.412938912938913e-05
4479,SINGLE LAIV,Non-Synonymous,NS2,2.547922629889843e-05
4479,SINGLE LAIV,Non-Synonymous,Whole_genome,2.9282175503653418e-05
4934,SINGLE LAIV,Non-Synonymous,PB2,3.480924533556113e-06
4934,SINGLE LAIV,Non-Synonymous,PB1,0.0
4934,SINGLE LAIV,Non-Synonymous,PB1-F2,0.0
4934,SINGLE LAIV,Non-Synonymous,PA,0.0
4934,SINGLE LAIV,Non-Synonymous,PA-X,0.0
4934,SINGLE LAIV,Non-Synonymous,HA,0.0
4934,SINGLE LAIV,Non-Synonymous,NP,0.0
4934,SINGLE LAIV,Non-Synonymous,NA,2.0685579196217493e-05
4934,SINGLE LAIV,Non-Synonymous,M1,0.0
4934,SINGLE LAIV,Non-Synonymous,M2,0.0
4934,SINGLE LAIV,Non-Synonymous,NS1,1.833814333814334e-05
4934,SINGLE LAIV,Non-Synonymous,NS2,7.0474455720357365e-06
4934,SINGLE LAIV,Non-Synonymous,Whole_genome,3.6135450621529746e-06
5179,NO VAC,Non-Synonymous,PB2,0.0
5179,NO VAC,Non-Synonymous,PB1,0.0
5179,NO VAC,Non-Synonymous,PB1-F2,0.0
5179,NO VAC,Non-Synonymous,PA,0.0
5179,NO VAC,Non-Synonymous,PA-X,0.0
5179,NO VAC,Non-Synonymous,HA,0.0
5179,NO VAC,Non-Synonymous,NP,0.0
5179,NO VAC,Non-Synonymous,NA,0.0
5179,NO VAC,Non-Synonymous,M1,0.0
5179,NO VAC,Non-Synonymous,M2,0.0
5179,NO VAC,Non-Synonymous,NS1,7.215007215007215e-06
5179,NO VAC,Non-Synonymous,NS2,6.505334374186834e-06
5179,NO VAC,Non-Synonymous,Whole_genome,4.984200085728242e-07
4481,SINGLE LAIV,Non-Synonymous,PB2,8.702311333890283e-07
4481,SINGLE LAIV,Non-Synonymous,PB1,8.725272577515322e-07
4481,SINGLE LAIV,Non-Synonymous,PB1-F2,0.0
4481,SINGLE LAIV,Non-Synonymous,PA,5.165556072111162e-06
4481,SINGLE LAIV,Non-Synonymous,PA-X,5.393192088471058e-06
4481,SINGLE LAIV,Non-Synonymous,HA,0.0
4481,SINGLE LAIV,Non-Synonymous,NP,0.0
4481,SINGLE LAIV,Non-Synonymous,NA,0.0
4481,SINGLE LAIV,Non-Synonymous,M1,0.0
4481,SINGLE LAIV,Non-Synonymous,M2,0.0
4481,SINGLE LAIV,Non-Synonymous,NS1,0.0
4481,SINGLE LAIV,Non-Synonymous,NS2,0.0
4481,SINGLE LAIV,Non-Synonymous,Whole_genome,1.31527502262273e-06
4495,NO VAC,Non-Synonymous,PB2,8.702311333890282e-05
4495,NO VAC,Non-Synonymous,PB1,5.845932626935266e-06
4495,NO VAC,Non-Synonymous,PB1-F2,0.0
4495,NO VAC,Non-Synonymous,PA,3.246920959612731e-05
4495,NO VAC,Non-Synonymous,PA-X,2.8385221518268727e-06
4495,NO VAC,Non-Synonymous,HA,0.0
4495,NO VAC,Non-Synonymous,NP,0.0
4495,NO VAC,Non-Synonymous,NA,0.0
4495,NO VAC,Non-Synonymous,M1,0.0
4495,NO VAC,Non-Synonymous,M2,0.0
4495,NO VAC,Non-Synonymous,NS1,0.0
4495,NO VAC,Non-Synonymous,NS2,0.0
4495,NO VAC,Non-Synonymous,Whole_genome,1.978450534029349e-05
4499,PRIME BOOST,Non-Synonymous,PA,9.224207271627077e-07
4499,PRIME BOOST,Non-Synonymous,PA-X,0.0
4499,PRIME BOOST,Non-Synonymous,Whole_genome,6.961849067112225e-07
4492,SINGLE LAIV,Stop-gained,PB2,0.0
4492,SINGLE LAIV,Stop-gained,PB1,0.0
4492,SINGLE LAIV,Stop-gained,PB1-F2,0.0
4492,SINGLE LAIV,Stop-gained,PA,0.0
4492,SINGLE LAIV,Stop-gained,PA-X,0.0
4492,SINGLE LAIV,Stop-gained,HA,9.238263206517174e-05
4492,SINGLE LAIV,Stop-gained,NP,0.0
4492,SINGLE LAIV,Stop-gained,NA,0.0
4492,SINGLE LAIV,Stop-gained,M1,0.0
4492,SINGLE LAIV,Stop-gained,M2,0.0
4492,SINGLE LAIV,Stop-gained,NS1,0.0
4492,SINGLE LAIV,Stop-gained,NS2,0.0
4492,SINGLE LAIV,Stop-gained,Whole_genome,1.096014161831473e-05
5175,PRIME BOOST,Stop-gained,PB2,0.0
5175,PRIME BOOST,Stop-gained,PB1,0.0
5175,PRIME BOOST,Stop-gained,PB1-F2,0.0
5175,PRIME BOOST,Stop-gained,PA,0.0
5175,PRIME BOOST,Stop-gained,PA-X,0.0
5175,PRIME BOOST,Stop-gained,HA,0.0
5175,PRIME BOOST,Stop-gained,NP,0.0
5175,PRIME BOOST,Stop-gained,NA,0.00028571428571428574
5175,PRIME BOOST,Stop-gained,M1,0.0
5175,PRIME BOOST,Stop-gained,M2,0.0
5175,PRIME BOOST,Stop-gained,NS1,0.0
5175,PRIME BOOST,Stop-gained,NS2,0.0
5175,PRIME BOOST,Stop-gained,Whole_genome,2.823066780475006e-05
